No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
1,2013,3,1,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3
2,2013,3,1,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5
3,2013,3,1,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0
4,2013,3,1,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6
5,2013,3,1,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5
6,2013,3,1,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5
7,2013,3,1,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5
8,2013,3,1,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1
9,2013,3,1,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2
10,2013,3,1,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6
11,2013,3,1,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0
12,2013,3,1,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6
13,2013,3,1,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8
14,2013,3,1,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8
15,2013,3,1,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9
16,2013,3,1,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0
17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4
18,2013,3,1,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5
19,2013,3,1,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7
20,2013,3,1,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0
21,2013,3,1,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1
22,2013,3,1,21,7.0,16.0,34.0,19.0,300.0,74.0,1.6
23,2013,3,1,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4
24,2013,3,1,23,7.0,12.0,43.0,25.0,500.0,65.0,0.3
25,2013,3,2,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5
26,2013,3,2,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8
27,2013,3,2,2,13.0,9.0,,56.0,800.0,33.0,-1.7
28,2013,3,2,3,14.0,24.0,23.0,42.0,,,-2.5
29,2013,3,2,4,14.0,18.0,24.0,,400.0,45.0,-3.4
30,2013,3,2,5,13.0,13.0,37.0,57.0,600.0,28.0,-3.5
31,2013,3,2,6,16.0,15.0,38.0,66.0,900.0,16.0,-3.5
32,2013,3,2,7,19.0,25.0,39.0,63.0,900.0,18.0,-3.3
33,2013,3,2,8,22.0,26.0,41.0,66.0,1100.0,14.0,-2.0
34,2013,3,2,9,29.0,43.0,53.0,69.0,1600.0,13.0,-0.2
35,2013,3,2,10,46.0,70.0,40.0,54.0,900.0,29.0,0.6
36,2013,3,2,11,30.0,33.0,40.0,61.0,800.0,28.0,1.3
37,2013,3,2,12,31.0,41.0,42.0,51.0,700.0,38.0,1.9
38,2013,3,2,13,30.0,34.0,42.0,50.0,700.0,42.0,2.3
39,2013,3,2,14,30.0,32.0,50.0,59.0,900.0,36.0,3.0
40,2013,3,2,15,38.0,41.0,49.0,58.0,900.0,38.0,2.9
41,2013,3,2,16,42.0,49.0,49.0,62.0,900.0,35.0,2.5
42,2013,3,2,17,44.0,50.0,50.0,66.0,900.0,31.0,2.1
43,2013,3,2,18,44.0,55.0,50.0,73.0,900.0,23.0,1.5
44,2013,3,2,19,47.0,60.0,34.0,76.0,1000.0,18.0,0.3
45,2013,3,2,20,52.0,65.0,43.0,84.0,1300.0,12.0,0.0
46,2013,3,2,21,69.0,76.0,51.0,82.0,1700.0,9.0,-1.2
47,2013,3,2,22,72.0,83.0,49.0,82.0,1600.0,8.0,-2.1
48,2013,3,2,23,62.0,71.0,68.0,87.0,2000.0,9.0,-2.2
49,2013,3,3,0,73.0,87.0,41.0,76.0,1500.0,7.0,-2.4
50,2013,3,3,1,50.0,60.0,36.0,73.0,1399.0,7.0,-3.8
51,2013,3,3,2,60.0,62.0,37.0,75.0,1500.0,7.0,-3.8
52,2013,3,3,3,60.0,63.0,41.0,74.0,1600.0,7.0,-4.0
53,2013,3,3,4,64.0,66.0,31.0,69.0,1200.0,6.0,-4.8
54,2013,3,3,5,56.0,58.0,34.0,71.0,1300.0,6.0,-5.6
