PRES,DEWP,RAIN,wd,WSPM,station
1020.8,-19.7,0.0,E,0.5,Changping
1021.3,-19.0,0.0,ENE,0.7,Changping
1021.3,-19.9,0.0,ENE,0.2,Changping
1021.8,-19.1,0.0,NNE,1.0,Changping
1022.3,-19.4,0.0,N,2.1,Changping
1022.6,-19.5,0.0,NNW,1.7,Changping
1023.4,-19.5,0.0,NNW,1.8,Changping
1024.6,-20.0,0.0,NW,2.5,Changping
1025.2,-20.5,0.0,NNW,2.8,Changping
1025.3,-20.4,0.0,NNW,3.8,Changping
1025.1,-21.3,0.0,N,2.2,Changping
1024.8,-20.7,0.0,NNE,2.7,Changping
1023.8,-19.7,0.0,N,3.0,Changping
1022.8,-20.6,0.0,NE,4.4,Changping
1022.6,-20.5,0.0,N,3.6,Changping
1022.6,-20.4,0.0,N,3.2,Changping
1022.8,-20.0,0.0,NE,2.2,Changping
1023.4,-20.8,0.0,ENE,2.0,Changping
1024.2,-20.0,0.0,NE,3.6,Changping
1025.1,-19.3,0.0,ENE,1.7,Changping
1025.9,-18.3,0.0,NE,1.7,Changping
1026.7,-17.4,0.0,E,2.3,Changping
1027.2,-17.4,0.0,E,0.0,Changping
1027.0,-16.6,0.0,NE,1.5,Changping
1027.4,-16.4,0.0,SW,3.0,Changping
1027.9,-16.7,0.0,SSW,0.9,Changping
1027.7,-17.4,0.0,SSW,1.5,Changping
1027.7,-17.4,0.0,SW,1.7,Changping
1027.5,-17.0,0.0,NW,0.8,Changping
1026.9,-16.8,0.0,N,0.5,Changping
1026.1,-15.8,0.0,NNE,0.9,Changping
1026.7,-14.4,0.0,NNW,0.9,Changping
1026.4,-15.1,0.0,NNE,1.0,Changping
1026.3,-16.6,0.0,WSW,0.5,Changping
1025.8,-17.2,0.0,SW,1.3,Changping
1025.4,-17.1,0.0,ESE,1.1,Changping
1024.2,-17.1,0.0,WSW,1.6,Changping
1022.6,-17.3,0.0,SE,0.2,Changping
1021.9,-17.3,0.0,S,0.0,Changping
1020.9,-16.8,0.0,WSW,1.2,Changping
1020.6,-17.1,0.0,WNW,0.5,Changping
1020.2,-16.4,0.0,E,0.7,Changping
1020.4,-16.0,0.0,NE,0.7,Changping
1020.0,-15.3,0.0,NE,0.6,Changping
1019.9,-15.2,0.0,NE,0.2,Changping
1019.7,-13.7,0.0,N,1.0,Changping
1019.1,-13.3,0.0,NNE,0.4,Changping
1018.2,-13.4,0.0,NNE,1.1,Changping
1017.4,-13.0,0.0,N,1.0,Changping
1016.5,-12.2,0.0,NNW,1.4,Changping
1015.1,-12.7,0.0,NNE,0.8,Changping
1014.1,-13.4,0.0,NE,0.7,Changping
1013.6,-13.2,0.0,NNE,0.2,Changping
1013.2,-13.0,0.0,ENE,0.5,Changping
1013.2,-13.1,0.0,NE,0.0,Changping
1013.5,-12.8,0.0,NE,0.8,Changping
1012.8,-11.4,0.0,NNW,0.5,Changping
1012.5,-12.6,0.0,SSE,0.8,Changping
1011.4,-12.2,0.0,SE,2.1,Changping
1010.4,-11.6,0.0,ESE,1.4,Changping
1009.1,-13.7,0.0,SE,1.8,Changping
1007.5,-13.8,0.0,NW,5.4,Changping
1006.9,-14.1,0.0,NW,5.3,Changping
1006.8,-14.9,0.0,NW,2.3,Changping
1006.9,-14.4,0.0,ENE,0.7,Changping
1007.6,-14.1,0.0,SSE,0.6,Changping
1009.0,-14.4,0.0,E,0.8,Changping
1010.0,-13.5,0.0,NW,0.9,Changping
1010.1,-12.2,0.0,ENE,0.5,Changping
1010.6,-12.3,0.0,N,0.7,Changping
1011.2,-11.9,0.0,NE,1.5,Changping
1012.1,-11.4,0.0,NE,2.0,Changping
1013.2,-12.6,0.0,ENE,2.4,Changping
1014.2,-12.5,0.0,NE,2.1,Changping
1014.4,-13.5,0.0,NW,1.4,Changping
1014.2,-14.8,0.0,N,4.0,Changping
1014.6,-12.2,0.0,NW,2.6,Changping
1015.4,-12.1,0.0,NW,4.7,Changping
1016.1,-12.3,0.0,N,3.0,Changping
1016.8,-12.3,0.0,N,0.8,Changping
1017.4,-12.9,0.0,ENE,1.6,Changping
1017.6,-13.8,0.0,NW,3.8,Changping
1017.1,-14.4,0.0,NNW,4.2,Changping
1016.6,-15.1,0.0,NNW,4.4,Changping
1015.4,-14.6,0.0,NNW,3.5,Changping
1014.2,-15.2,0.0,NNW,3.4,Changping
1013.1,-16.9,0.0,NW,3.0,Changping
1012.5,-16.9,0.0,NW,2.3,Changping
1012.0,-14.4,0.0,SSW,3.3,Changping
1012.4,-14.0,0.0,SSW,2.6,Changping
1012.7,-13.7,0.0,SSW,1.2,Changping
1013.2,-12.5,0.0,ENE,0.5,Changping
1013.4,-11.7,0.0,ENE,0.2,Changping
1013.4,-11.7,0.0,ESE,0.8,Changping
1013.2,-11.6,0.0,E,0.6,Changping
1012.6,-11.5,0.0,ESE,0.8,Changping
1012.1,-11.2,0.0,ENE,0.4,Changping
1011.7,-11.0,0.0,NNE,0.6,Changping
1011.4,-10.7,0.0,N,0.6,Changping
1011.0,-10.4,0.0,N,0.2,Changping
1010.7,-10.1,0.0,N,0.8,Changping
1010.9,-9.6,0.0,NNE,0.0,Changping
1010.6,-9.4,0.0,NE,0.8,Changping
1010.4,-9.4,0.0,NE,0.0,Changping
1010.1,-10.7,0.0,SW,0.8,Changping
1009.5,-10.6,0.0,SW,1.0,Changping
1008.7,-9.3,0.0,ESE,1.4,Changping
1007.8,-9.4,0.0,SW,1.9,Changping
1006.5,-9.0,0.0,ENE,0.4,Changping
1005.1,-8.1,0.0,SSW,0.9,Changping
1004.3,-8.6,0.0,SE,1.7,Changping
1004.1,-8.4,0.0,SE,0.8,Changping
1003.9,-8.0,0.0,ESE,1.1,Changping
1004.5,-8.2,0.0,ESE,1.0,Changping
1005.0,-7.8,0.0,NE,0.8,Changping
1005.4,-7.6,0.0,NNE,0.2,Changping
1005.9,-7.3,0.0,NNE,0.7,Changping
1006.0,-7.3,0.0,NNE,0.2,Changping
1005.8,-7.0,0.0,N,1.7,Changping
1005.7,-6.9,0.0,NE,0.4,Changping
1005.4,-6.7,0.0,N,2.0,Changping
1005.3,-6.4,0.0,NE,0.8,Changping
1004.8,-6.5,0.0,N,0.7,Changping
1004.7,-6.3,0.0,N,1.3,Changping
1004.7,-6.2,0.0,N,1.0,Changping
1004.9,-5.8,0.0,N,0.9,Changping
1005.1,-5.6,0.0,N,0.2,Changping
1006.2,-4.9,0.0,ESE,0.6,Changping
1006.2,-4.1,0.0,SW,0.5,Changping
1006.1,-5.5,0.0,W,0.5,Changping
1005.8,-5.5,0.0,NNW,0.7,Changping
1004.6,-5.0,0.0,N,0.9,Changping
